time,open,high,low,close,volume
2021-04-18 09:00:00,256.57,260.96,249.04,258.17,205665.27369
2021-04-18 10:00:00,257.94,262.48,256.17,257.88,115236.4794
2021-04-18 11:00:00,257.71,262.79,246.41,248.88,148527.10379
2021-04-18 12:00:00,248.88,260.56,248.45,260.47,158435.60854
2021-04-18 13:00:00,260.47,264.56,257.22,263.13,94256.5429
2021-04-18 14:00:00,263.22,266.32,259.85,261.37,89736.24698
2021-04-18 15:00:00,261.37,267.0,259.1,265.32,85298.41923
2021-04-18 16:00:00,265.37,272.0,264.62,265.86,103373.91584
2021-04-18 17:00:00,265.97,268.16,260.74,261.91,59000.26362
2021-04-18 18:00:00,261.9,266.36,260.39,264.02,65630.79765
2021-04-18 19:00:00,264.06,271.5,264.06,269.82,75875.42381
2021-04-18 20:00:00,269.7,274.75,269.7,273.03,63567.52037
2021-04-18 21:00:00,273.05,273.45,264.31,268.81,95521.6728
2021-04-18 22:00:00,268.81,278.63,268.64,276.8,78552.20483
2021-04-18 23:00:00,276.8,277.49,271.96,273.36,57738.725
2021-04-19 00:00:00,273.35,279.0,266.15,278.38,98960.30509
2021-04-19 01:00:00,278.39,280.26,275.73,275.82,79112.67852
2021-04-19 02:00:00,275.75,280.26,273.78,280.12,54200.55771
2021-04-19 03:00:00,280.08,284.39,275.87,279.9,82817.28705
2021-04-19 04:00:00,279.91,280.68,274.02,276.12,66239.91868
2021-04-19 05:00:00,276.08,276.12,271.04,272.27,44556.99299
2021-04-19 06:00:00,272.21,278.14,272.05,276.38,47336.74526
2021-04-19 07:00:00,276.32,277.5,273.26,275.91,52071.83695
2021-04-19 08:00:00,275.91,276.91,267.46,268.45,69567.24701
2021-04-19 09:00:00,268.45,270.46,265.49,266.07,64281.45793
2021-04-19 10:00:00,266.21,267.33,260.75,267.2,99125.82112
2021-04-19 11:00:00,267.02,273.89,266.25,272.52,69149.28488
2021-04-19 12:00:00,272.4,275.39,267.65,267.9,63298.52336
2021-04-19 13:00:00,267.84,270.94,263.73,268.79,92555.24807
2021-04-19 14:00:00,268.77,268.77,252.22,257.58,187383.70816
2021-04-19 15:00:00,257.51,260.77,250.21,252.27,167889.91871
2021-04-19 16:00:00,252.27,263.07,250.32,255.33,125451.45924
2021-04-19 17:00:00,255.31,261.0,252.11,260.16,72274.28551
2021-04-19 18:00:00,260.19,269.57,260.0,265.92,98510.54268
2021-04-19 19:00:00,265.93,273.65,264.54,269.56,101874.26134
2021-04-19 20:00:00,269.67,271.5,267.0,271.13,47424.97044
2021-04-19 21:00:00,271.14,271.61,262.72,266.4,54195.30851
2021-04-19 22:00:00,266.41,272.14,263.68,267.1,56998.78899
2021-04-19 23:00:00,267.1,268.76,258.83,261.38,78234.72753
2021-04-20 00:00:00,261.47,263.98,242.0,246.36,194624.159
2021-04-20 01:00:00,246.37,251.64,243.79,246.89,115218.5738
2021-04-20 04:00:00,246.84,255.0,245.84,254.3,53167.06602
2021-04-20 05:00:00,254.3,254.74,248.02,249.53,56467.92939
2021-04-20 06:00:00,249.54,252.23,235.81,237.89,115422.4388
2021-04-20 07:00:00,237.94,245.91,234.31,245.8,123328.8562
2021-04-20 08:00:00,245.81,252.41,244.83,251.05,84709.56595
2021-04-20 09:00:00,251.1,255.0,247.62,251.57,93557.72469
2021-04-20 10:00:00,251.55,260.22,250.7,257.99,93970.10493
2021-04-20 11:00:00,257.95,259.42,239.99,258.01,106991.08555
2021-04-20 12:00:00,258.05,258.65,252.61,254.38,84516.87684
2021-04-20 13:00:00,254.36,263.88,254.29,262.95,94547.74662
2021-04-20 14:00:00,263.05,263.5,251.9,252.88,100680.95103
2021-04-20 15:00:00,252.81,255.44,246.25,254.19,97029.77796
2021-04-20 16:00:00,254.22,265.3,252.57,265.0,133033.53188
2021-04-20 17:00:00,265.04,265.52,261.44,264.58,100084.85673
2021-04-20 18:00:00,264.58,269.84,263.46,266.95,108723.23556
2021-04-20 19:00:00,266.96,272.73,264.46,272.6,95257.68254
2021-04-20 20:00:00,272.65,272.8,263.86,265.96,96380.56343
2021-04-20 21:00:00,265.93,267.99,260.75,267.67,60848.14482
2021-04-20 22:00:00,267.75,268.61,260.98,262.24,49315.71067
2021-04-20 23:00:00,262.1,264.68,260.1,260.68,53348.74312
2021-04-21 00:00:00,260.73,270.0,257.52,257.75,115289.25619
2021-04-21 01:00:00,257.77,265.79,256.36,264.6,62545.12108
2021-04-21 02:00:00,264.55,267.62,263.67,266.01,38959.7892
2021-04-21 03:00:00,266.02,266.25,257.92,258.42,65277.81698
2021-04-21 04:00:00,258.45,262.45,256.21,260.77,45010.81892
2021-04-21 05:00:00,260.73,264.63,258.21,261.59,56995.559
2021-04-21 06:00:00,261.68,265.88,258.79,264.79,62214.93396
2021-04-21 07:00:00,264.78,264.92,259.5,259.92,52208.96568
2021-04-21 08:00:00,259.92,263.73,255.78,261.87,73311.77793
2021-04-21 09:00:00,261.78,263.74,259.34,262.41,50203.25987
2021-04-21 10:00:00,262.41,262.49,252.6,253.78,73287.71573
2021-04-21 11:00:00,253.76,256.33,250.75,254.13,97576.07891
2021-04-21 12:00:00,254.15,266.3,252.29,264.79,124482.66494
2021-04-21 13:00:00,264.75,265.8,262.35,264.19,74766.41325
2021-04-21 14:00:00,264.15,270.2,260.63,269.82,91039.21419
2021-04-21 15:00:00,269.72,276.0,269.62,274.05,140631.71685
2021-04-21 16:00:00,274.22,277.0,270.16,270.77,96385.25493
2021-04-21 17:00:00,270.71,272.5,268.81,270.75,63773.58775
2021-04-21 18:00:00,270.73,271.55,265.06,267.31,69258.98262
2021-04-21 19:00:00,267.35,276.24,267.32,274.94,77490.80151
2021-04-21 20:00:00,274.93,275.0,263.02,264.81,94122.56052
2021-04-21 21:00:00,264.81,266.62,261.42,262.68,47595.02353
2021-04-21 22:00:00,262.7,267.1,255.0,258.5,90920.27677
2021-04-21 23:00:00,258.55,261.0,255.0,257.69,77732.61523
