,time,type,fracSize,low,high,note,tokenPriceA,tokenPriceB,cumFees
17,2021-01-17 19:49:28.550,base,1,32283.587490574115,40302.888925361025,new,11106.660032860076,0.3100344273997873,0.0
18,2021-01-18 19:49:28.550,base,1,33670.246028911606,41220.23717412756,new,10354.215752709775,0.2787213127454405,0.0
19,2021-01-19 19:49:28.550,base,1,32299.695793838575,39849.12054934816,new,8908.164002464468,0.2468166991961923,0.0
20,2021-01-20 19:49:28.550,base,1,31159.97522713269,38957.975515742946,new,8902.66545087308,0.255529397737079,0.0
21,2021-01-21 19:49:28.550,base,1,26335.78185831244,33405.21970838458,new,8778.021113193432,0.2933863077427319,0.0
22,2021-01-22 13:49:28.550,base,1,28832.521838251283,38464.05775254102,stop,8861.98016400045,0.2639893200126397,0.0
23,2021-01-23 13:49:28.550,base,1,28917.106065161854,36691.56525277808,new,8838.217068419459,0.2734980752216043,0.0
24,2021-01-24 13:49:28.550,base,1,28520.963323757016,36091.20537357549,new,8203.688242425773,0.2625115394756451,0.0
25,2021-01-25 13:49:28.550,base,1,29970.916552262646,37534.1539878269,new,8471.469283549173,0.2521245484346061,0.0
26,2021-01-26 13:49:28.550,base,1,28508.706316283202,35685.04529885978,new,8688.128266056447,0.2712757288013308,0.0
27,2021-01-27 13:49:28.550,base,1,27080.330195133505,34934.63672179171,new,8577.905717729413,0.2790184791196122,0.0
28,2021-01-28 13:49:28.550,base,1,28490.13595905626,37001.1801019513,new,8605.479693982743,0.2639696726278309,0.0
29,2021-01-29 07:49:28.550,base,1,32641.25509388111,43475.505189933865,stop,9612.223384888835,0.2555749870739977,0.0
30,2021-01-30 07:49:28.550,base,1,29274.76618361066,36920.72996628938,new,8605.563863548166,0.2536156284667961,0.0
31,2021-01-31 07:49:28.550,base,1,29614.69660428918,38164.993293802814,new,8632.64742151081,0.2556897276684255,0.0
32,2021-02-01 07:49:28.550,base,1,28924.007050251686,38351.770253181465,new,8835.998727747607,0.2615597368052169,0.0
33,2021-02-02 07:49:28.550,base,1,30136.37672276684,39321.01928037511,new,8515.696576741104,0.2439037074920042,0.0
34,2021-02-03 07:49:28.550,base,1,31842.167195120037,41744.31050225666,new,8269.425348835814,0.225682012410136,0.0
35,2021-02-04 07:49:28.550,base,1,33630.70966602251,42703.14649503586,new,7815.434437395314,0.2078488820186715,0.0
36,2021-02-05 07:49:28.550,base,1,33434.56997016595,42717.985892194876,new,7581.225354235503,0.1983509444012126,0.0
37,2021-02-06 07:49:28.550,base,1,34463.858061799336,45663.928095965515,new,8328.249049069833,0.2067426021056979,0.0
38,2021-02-07 07:49:28.550,base,1,34933.14801471643,43028.88267601895,new,9052.870421735432,0.2350919044678849,0.0
39,2021-02-08 07:49:28.550,base,1,38800.55191152727,50292.62475636094,new,9699.88662457416,0.2194859526169514,0.0
40,2021-02-09 07:49:28.550,base,1,39715.36416577973,52466.78626374589,new,9816.706527860724,0.2150406979377758,0.0
41,2021-02-10 07:49:28.550,base,1,40092.02214655922,51567.689844769346,new,9995.62340215844,0.218604381047847,0.0
42,2021-02-11 07:49:28.550,base,1,43049.3003296449,54500.87458558826,new,10107.40178797442,0.211401772965435,0.0
43,2021-02-12 07:49:28.550,base,1,43015.84289340578,53994.77698629549,new,10134.06999528169,0.2111460724219681,0.0
44,2021-02-13 07:49:28.550,base,1,42059.21057679877,52788.150226088495,new,9614.545969421742,0.2044726384968891,0.0
45,2021-02-14 07:49:28.550,base,1,43580.82915274824,54770.810831584306,new,9865.551257985891,0.2020153966068858,0.0
46,2021-02-15 07:49:28.550,base,1,41963.25748089116,54363.947927912945,new,9868.76480984112,0.2063898260711539,0.0
47,2021-02-16 07:49:28.550,base,1,44596.38570909812,54285.77355031074,new,10282.539146898656,0.2095781613056037,0.0
48,2021-02-17 07:49:28.550,base,1,44458.858121886435,57677.04902307327,new,10572.475900771722,0.2079294535081537,0.0
49,2021-02-18 07:49:28.550,base,1,45814.939078733565,57828.8381030548,new,10232.37394259395,0.1982931458534812,0.0
