,time,type,fracSize,low,high,note,tokenPriceA,tokenPriceB,cumFees
684,2021-04-29 11:58:15.211,base,1,2503.6413999556557,3057.055817841038,hold,2796.4080559199174,1.0022692942834657,0.1435020140574538
685,2021-04-29 12:58:15.211,base,1,2503.6413999556557,3057.055817841038,hold,2758.8595167311696,1.00037367227086,0.143540701754506
686,2021-04-29 13:58:15.211,base,1,2503.6413999556557,3057.055817841038,hold,2768.8799104635477,0.9997633409741068,0.1435869838843958
687,2021-04-29 14:58:15.211,base,1,2503.6413999556557,3057.055817841038,hold,2782.2525289911214,1.0010646518031572,0.1436349061794582
688,2021-04-29 15:58:15.211,base,1,2503.6413999556557,3057.055817841038,hold,2737.064487675384,0.9994484685099776,0.143683536502274
689,2021-04-29 16:58:15.211,base,1,2503.6413999556557,3057.055817841038,hold,2735.3121122302928,1.0022390671208017,0.1437641989917305
690,2021-04-29 17:58:15.211,base,1,2503.6413999556557,3057.055817841038,hold,2726.6558629698707,0.9995147667398028,0.1438388527772829
691,2021-04-29 18:58:15.211,base,1,2503.6413999556557,3057.055817841038,hold,2724.917823061789,0.999057527498297,0.1438602547172937
692,2021-04-29 19:58:15.211,base,1,2503.6413999556557,3057.055817841038,hold,2704.532671807293,1.000714705581734,0.1439069157878866
693,2021-04-29 20:58:15.211,base,1,2503.6413999556557,3057.055817841038,hold,2729.234900133914,1.000555797791977,0.1439346545288046
694,2021-04-29 21:58:15.211,base,1,2503.6413999556557,3057.055817841038,hold,2757.3786797494963,1.0000147988348564,0.1439695576446892
695,2021-04-29 22:58:15.211,base,1,2503.6413999556557,3057.055817841038,hold,2756.284738157517,1.0017634093575212,0.1439938956490515
696,2021-04-29 23:58:15.211,base,1,2503.6413999556557,3057.055817841038,hold,2737.444847674204,0.9996017376194174,0.1440550331904935
697,2021-04-30 00:58:15.211,base,1,2503.6413999556557,3057.055817841038,hold,2746.829555793441,0.9990549540960492,0.1440757491035918
698,2021-04-30 01:58:15.211,base,1,2503.6413999556557,3057.055817841038,hold,2735.8310407725003,0.9990122474734972,0.1441051117003405
699,2021-04-30 02:58:15.211,base,1,2503.6413999556557,3057.055817841038,hold,2740.1745428833588,0.9985892527537372,0.14412751266193
700,2021-04-30 03:58:15.211,base,1,2503.6413999556557,3057.055817841038,hold,2764.1788757676754,0.9991926947582566,0.1441511226777491
701,2021-04-30 04:58:15.211,base,1,2503.6413999556557,3057.055817841038,hold,2765.7246237814948,0.9995775610665308,0.1441730895700561
702,2021-04-30 05:58:15.211,base,1,2503.6413999556557,3057.055817841038,hold,2783.0486074879027,0.9994131820564404,0.1442019582339924
703,2021-04-30 06:58:15.211,base,1,2503.6413999556557,3057.055817841038,hold,2773.0475104184543,1.000338310207969,0.1442263419800362
704,2021-04-30 07:58:15.211,base,1,2503.6413999556557,3057.055817841038,hold,2782.9572369602315,1.0000710415890306,0.1442535416308155
705,2021-04-30 08:58:15.211,base,1,2503.6413999556557,3057.055817841038,hold,2777.499658843208,1.0012178370665603,0.1442814045352396
706,2021-04-30 09:58:15.211,base,1,2503.6413999556557,3057.055817841038,hold,2766.194952201139,1.0004372982694882,0.1443287164735819
707,2021-04-30 10:58:15.211,base,1,2450.532823472531,3037.63755564969,new,2736.740090173947,0.9997442208678592,0.1443599062099754
708,2021-04-30 11:58:15.211,base,1,2450.532823472531,3037.63755564969,hold,2748.1724366648664,1.0005419138301122,0.1443826719055057
709,2021-04-30 12:58:15.211,base,1,2450.532823472531,3037.63755564969,hold,2735.2417341413093,1.0004824412167623,0.1444330460163973
710,2021-04-30 13:58:15.211,base,1,2450.532823472531,3037.63755564969,hold,2742.2951034902203,1.0003506034269758,0.1444772208279568
